id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
RC1,RC1,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete GEN1 / C10 / ST2,188.16,RCworks!13,188.16,RCworks!A13,RC works,
RC2,RC2,Blinding: 50mm thk,m2,RC works,Plain Concrete GEN1 / C10 / ST2,9.41,RCworks!14,9.41,RCworks!A14,RC works,
RC3,RC3,Blinding: 75mm thk,m2,RC works,Plain Concrete GEN1 / C10 / ST2,14.11,RCworks!15,14.11,RCworks!A15,RC works,
RC4,RC4,Blinding not exceeding 150 thk; sloping,m3,RC works,Plain Concrete GEN1 / C10 / ST2,201.5,RCworks!16,201.5,RCworks!A16,RC works,
RC5,RC5,Blinding: 50mm thk; sloping,m2,RC works,Plain Concrete GEN1 / C10 / ST2,28.08,RCworks!17,28.08,RCworks!A17,RC works,
RC6,RC6,Bed; 150-450mm thk,m3,RC works,Plain Concrete GEN1 / C10 / ST2,182.52,RCworks!18,182.52,RCworks!A18,RC works,
RC7,RC7,"Back blinding 150 thk; vertical, inc formwork",m2,RC works,Plain Concrete GEN1 / C10 / ST2,142.57,RCworks!19,142.57,RCworks!A19,RC works,formwork
RC8,RC8,Mass fill / pad foundation,m3,RC works,Plain Concrete GEN1 / C10 / ST2,173.2,RCworks!20,173.2,RCworks!A20,RC works,foundation
RC9,RC9,Filling hollow walls; not exceeding 150mm,m3,RC works,Plain Concrete GEN1 / C10 / ST2,382.54,RCworks!21,382.54,RCworks!A21,RC works,wall
RC10,RC10,Filling to vaults,m3,RC works,Plain Concrete Foamed; 1000-1200kg/m3; 10N/mm2,140.43,RCworks!24,140.43,RCworks!A24,RC works,
RC11,RC11,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete GEN2 / C15 / ST3,189.52,RCworks!27,189.52,RCworks!A27,RC works,
RC12,RC12,Blinding not exceeding 150 thk; 50mm thk,m2,RC works,Plain Concrete GEN2 / C15 / ST3,9.48,RCworks!28,9.48,RCworks!A28,RC works,
RC13,RC13,Blinding not exceeding 150 thk; sloping,m3,RC works,Plain Concrete GEN2 / C15 / ST3,202.86,RCworks!29,202.86,RCworks!A29,RC works,
RC14,RC14,Pad foundations,m3,RC works,Plain Concrete GEN2 / C15 / ST3,174.49,RCworks!30,174.49,RCworks!A30,RC works,foundation
RC15,RC15,Strip foundations,m3,RC works,Plain Concrete GEN2 / C15 / ST3,175.03,RCworks!31,175.03,RCworks!A31,RC works,foundation
RC16,RC16,Filling hollow walls; not exceeding 150mm,m3,RC works,Plain Concrete GEN2 / C15 / ST3,383.96,RCworks!32,383.96,RCworks!A32,RC works,wall
RC17,RC17,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete GEN3 / C20 / ST4,190.88,RCworks!35,190.88,RCworks!A35,RC works,
RC18,RC18,Blinding: 50mm thk,m2,RC works,Plain Concrete GEN3 / C20 / ST4,9.54,RCworks!36,9.54,RCworks!A36,RC works,
RC19,RC19,Pad foundations,m3,RC works,Plain Concrete GEN3 / C20 / ST4,175.79,RCworks!37,175.79,RCworks!A37,RC works,foundation
RC20,RC20,Strip footings,m3,RC works,Plain Concrete GEN3 / C20 / ST4,176.32,RCworks!38,176.32,RCworks!A38,RC works,
RC21,RC21,Bed; 150-450mm thk,m3,RC works,Plain Concrete GEN3 / C20 / ST4,170.96,RCworks!39,170.96,RCworks!A39,RC works,
RC22,RC22,Bed; ex 450mm thk,m3,RC works,Plain Concrete GEN3 / C20 / ST4,170.42,RCworks!40,170.42,RCworks!A40,RC works,
RC23,RC23,Mass fill,m3,RC works,Plain Concrete GEN3 / C20 / ST4,175.79,RCworks!41,175.79,RCworks!A41,RC works,
RC24,RC24,Filling hollow walls; not exceeding 150mm,m3,RC works,Plain Concrete GEN3 / C20 / ST4,385.37,RCworks!42,385.37,RCworks!A42,RC works,wall
RC25,RC25,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete C25,192.24,RCworks!45,192.24,RCworks!A45,RC works,
RC26,RC26,Mass fill footings,m3,RC works,Plain Concrete C25,178.16,RCworks!46,178.16,RCworks!A46,RC works,
RC27,RC27,Mass fill isolated bases,m3,RC works,Plain Concrete C25,177.09,RCworks!47,177.09,RCworks!A47,RC works,
RC28,RC28,Mass concrete steps,m3,RC works,Plain Concrete C25,215.54,RCworks!48,215.54,RCworks!A48,RC works,concrete
RC29,RC29,Bed; 150-450mm thk,m3,RC works,Plain Concrete C25,170.05,RCworks!49,170.05,RCworks!A49,RC works,
RC30,RC30,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,194.95,RCworks!52,194.95,RCworks!A52,RC works,
RC31,RC31,Mass fill footings / strip foundations,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,172.37,RCworks!53,172.37,RCworks!A53,RC works,foundation
RC32,RC32,Mass fill isolated bases,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,172.9,RCworks!54,172.9,RCworks!A54,RC works,
RC33,RC33,Mass concrete steps,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,220.93,RCworks!55,220.93,RCworks!A55,RC works,concrete
RC34,RC34,Bed; not exceeding 150mm thk,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,183.65,RCworks!56,183.65,RCworks!A56,RC works,
RC35,RC35,Bed; 150-450mm thk,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,172.23,RCworks!57,172.23,RCworks!A57,RC works,
RC36,RC36,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete FND2 (C35),197.66,RCworks!60,197.66,RCworks!A60,RC works,
