id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SE1,SE1,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: ne - 0.5 m,m,Services,General Services,18.01,Services!I19,18.01,Services!A19,Services,"200mm,general_services"
SE2,SE2,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 0.5 - 0.75 m,m,Services,General Services,22.61,Services!I20,22.61,Services!A20,Services,"200mm,general_services"
SE3,SE3,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 0.75 - 1.0 m,m,Services,General Services,27.22,Services!I21,27.22,Services!A21,Services,"200mm,general_services"
SE4,SE4,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 1 - 1.25 m,m,Services,General Services,45.44,Services!I22,45.44,Services!A22,Services,"200mm,general_services"
SE5,SE5,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 1.25 - 1.5 m,m,Services,General Services,52.77,Services!I23,52.77,Services!A23,Services,"200mm,general_services"
SE6,SE6,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 1.5 - 1.75 m,m,Services,General Services,70.36,Services!I24,70.36,Services!A24,Services,"200mm,general_services"
SE7,SE7,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 1.75 - 2.0 m,m,Services,General Services,78.84,Services!I25,78.84,Services!A25,Services,"200mm,general_services"
SE8,SE8,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 2 - 2.25 m,m,Services,General Services,108.26,Services!I26,108.26,Services!A26,Services,"200mm,general_services"
SE9,SE9,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 2.25 - 2.5 m,m,Services,General Services,118.66,Services!I27,118.66,Services!A27,Services,"200mm,general_services"
SE10,SE10,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 2.5 - 2.75 m,m,Services,General Services,129.06,Services!I28,129.06,Services!A28,Services,"200mm,general_services"
SE11,SE11,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 2.75 - 3.0 m,m,Services,General Services,139.46,Services!I29,139.46,Services!A29,Services,"200mm,general_services"
SE12,SE12,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 3 - 3.25 m,m,Services,General Services,264.31,Services!I30,264.31,Services!A30,Services,"200mm,general_services"
SE13,SE13,Excavate trenches for ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 3.25 - 3.5 m,m,Services,General Services,282.39,Services!I31,282.39,Services!A31,Services,"200mm,general_services"
SE14,SE14,Excavate trenches for 2nr ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: ne - 0.5 m,m,Services,General Services,23.45,Services!I33,23.45,Services!A33,Services,"200mm,general_services"
SE15,SE15,Excavate trenches for 2nr ducts ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert: 0.5 - 0.75 m,m,Services,General Services,30.78,Services!I34,30.78,Services!A34,Services,"200mm,general_services"
