id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DR_0001_Drainage,DR0001,1,All items below based on disposal of excavation arisings being clean/inert material. Rates flucuating based on a prime cost of:,item,Drainage,Excavation,Drainage Works,300.0,Drainage!O20,300.0,Drainage!A20,Drainage,
DR_0002_Drainage,DR0002,2,Excludes suspended drainage to ground floor,item,Drainage,General Drainage,Drainage Works,0.0,,0.0,Drainage!A21,Drainage,drainage
DR_0003_Drainage,DR0003,3,Excludes services and service entries. No details,item,Drainage,General Drainage,Drainage Works,0.0,,0.0,Drainage!A22,Drainage,
DR_0004_Drainage,DR0004,4,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,Drainage Works,13.13,Drainage!O25,13.13,Drainage!A25,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0005_Drainage,DR0005,5,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,Drainage Works,17.49,Drainage!O26,17.49,Drainage!A26,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0006_Drainage,DR0006,6,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,Drainage Works,22.35,Drainage!O27,22.35,Drainage!A27,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0007_Drainage,DR0007,7,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,Drainage Works,33.52,Drainage!O28,33.52,Drainage!A28,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0008_Drainage,DR0008,8,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,Drainage Works,38.39,Drainage!O29,38.39,Drainage!A29,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0009_Drainage,DR0009,9,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,Drainage Works,53.05,Drainage!O30,53.05,Drainage!A30,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0010_Drainage,DR0010,10,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,Drainage Works,59.0,Drainage!O31,59.0,Drainage!A31,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0011_Drainage,DR0011,11,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,Drainage Works,81.49,Drainage!O32,81.49,Drainage!A32,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0012_Drainage,DR0012,12,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,Drainage Works,92.88,Drainage!O33,92.88,Drainage!A33,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0013_Drainage,DR0013,13,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,Drainage Works,112.96,Drainage!O34,112.96,Drainage!A34,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0014_Drainage,DR0014,14,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,Drainage Works,131.31,Drainage!O35,131.31,Drainage!A35,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
