id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
1,1,Site clearance,m2,External Works,Groundworks,0.49,ExternalWorks!E12,0.49,ExternalWorks!A12,External Works,
2,2,Site prep; clear vegetation,m2,External Works,Groundworks,1.13,ExternalWorks!E13,1.13,ExternalWorks!A13,External Works,
3,3,"Site prep; clear vegetation, bushes, small trees",m2,External Works,Groundworks,2.64,ExternalWorks!E14,2.64,ExternalWorks!A14,External Works,
4,4,Excavate topsoil for preservation,m3,External Works,Groundworks,5.62,ExternalWorks!E15,5.62,ExternalWorks!A15,External Works,
5,5,Excavate to reduce levels; not exceeding 250mm,m3,External Works,Groundworks,4.72,ExternalWorks!E16,4.72,ExternalWorks!A16,External Works,250mm
6,6,Excavate to reduce levels; not exceeding 1m,m3,External Works,Groundworks,3.54,ExternalWorks!E17,3.54,ExternalWorks!A17,External Works,1m
7,7,Excavate to reduce levels; not exceeding 2m,m3,External Works,Groundworks,4.25,ExternalWorks!E18,4.25,ExternalWorks!A18,External Works,2m
8,8,Excavate to reduce levels; not exceeding 4m,m3,External Works,Groundworks,5.26,ExternalWorks!E19,5.26,ExternalWorks!A19,External Works,4m
9,9,Excavate to reduce levels; not exceeding 1m (restricted headroom),m3,External Works,Groundworks,4.72,ExternalWorks!E20,4.72,ExternalWorks!A20,External Works,1m
10,10,Excavate basement; not exceeding 4m dp,m3,External Works,Groundworks,5.59,ExternalWorks!E21,5.59,ExternalWorks!A21,External Works,4m
11,11,Excavate basement; not exceeding 6m dp,m3,External Works,Groundworks,6.39,ExternalWorks!E22,6.39,ExternalWorks!A22,External Works,6m
12,12,Excavate basement; not exceeding 8m dp,m3,External Works,Groundworks,8.94,ExternalWorks!E23,8.94,ExternalWorks!A23,External Works,8m
13,13,Excavate basement; not exceeding 4m deep (dble handling),m3,External Works,Groundworks,9.27,ExternalWorks!E24,9.27,ExternalWorks!A24,External Works,4m
14,14,Excavate basement; not exceeding 6m deep (dble handling),m3,External Works,Groundworks,10.59,ExternalWorks!E25,10.59,ExternalWorks!A25,External Works,6m
15,15,Excavate basement; not exceeding 8m deep (dble handling),m3,External Works,Groundworks,14.83,ExternalWorks!E26,14.83,ExternalWorks!A26,External Works,8m
