id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
EXT1,EXT1,Site clearance,m2,External Works,Groundworks,0.49,ExternalWorks!E12,0.49,ExternalWorks!A12,External Works,
EXT2,EXT2,Site prep; clear vegetation,m2,External Works,Groundworks,1.13,ExternalWorks!E13,1.13,ExternalWorks!A13,External Works,
EXT3,EXT3,"Site prep; clear vegetation, bushes, small trees",m2,External Works,Groundworks,2.64,ExternalWorks!E14,2.64,ExternalWorks!A14,External Works,
EXT4,EXT4,Excavate topsoil for preservation,m3,External Works,Groundworks,5.62,ExternalWorks!E15,5.62,ExternalWorks!A15,External Works,
EXT5,EXT5,Excavate to reduce levels; not exceeding 250mm,m3,External Works,Groundworks,4.72,ExternalWorks!E16,4.72,ExternalWorks!A16,External Works,250mm
EXT6,EXT6,Excavate to reduce levels; not exceeding 1m,m3,External Works,Groundworks,3.54,ExternalWorks!E17,3.54,ExternalWorks!A17,External Works,1m
EXT7,EXT7,Excavate to reduce levels; not exceeding 2m,m3,External Works,Groundworks,4.25,ExternalWorks!E18,4.25,ExternalWorks!A18,External Works,2m
EXT8,EXT8,Excavate to reduce levels; not exceeding 4m,m3,External Works,Groundworks,5.26,ExternalWorks!E19,5.26,ExternalWorks!A19,External Works,4m
EXT9,EXT9,Excavate to reduce levels; not exceeding 1m (restricted headroom),m3,External Works,Groundworks,4.72,ExternalWorks!E20,4.72,ExternalWorks!A20,External Works,1m
EXT10,EXT10,Excavate basement; not exceeding 4m dp,m3,External Works,Groundworks,5.59,ExternalWorks!E21,5.59,ExternalWorks!A21,External Works,4m
EXT11,EXT11,Excavate basement; not exceeding 6m dp,m3,External Works,Groundworks,6.39,ExternalWorks!E22,6.39,ExternalWorks!A22,External Works,6m
EXT12,EXT12,Excavate basement; not exceeding 8m dp,m3,External Works,Groundworks,8.94,ExternalWorks!E23,8.94,ExternalWorks!A23,External Works,8m
EXT13,EXT13,Excavate basement; not exceeding 4m deep (dble handling),m3,External Works,Groundworks,9.27,ExternalWorks!E24,9.27,ExternalWorks!A24,External Works,4m
EXT14,EXT14,Excavate basement; not exceeding 6m deep (dble handling),m3,External Works,Groundworks,10.59,ExternalWorks!E25,10.59,ExternalWorks!A25,External Works,6m
EXT15,EXT15,Excavate basement; not exceeding 8m deep (dble handling),m3,External Works,Groundworks,14.83,ExternalWorks!E26,14.83,ExternalWorks!A26,External Works,8m
EXT16,EXT16,Excavate basement; not exceeding 10m deep (dble handling),m3,External Works,Groundworks,21.18,ExternalWorks!E27,21.18,ExternalWorks!A27,External Works,10m
EXT17,EXT17,Excavate open cut / swale,m3,External Works,Groundworks,8.94,ExternalWorks!E28,8.94,ExternalWorks!A28,External Works,
EXT18,EXT18,Excavate pits; not exceeding 1m dp,m3,External Works,Groundworks,14.05,ExternalWorks!E29,14.05,ExternalWorks!A29,External Works,1m
EXT19,EXT19,Excavate pits; not exceeding 2m dp,m3,External Works,Groundworks,15.33,ExternalWorks!E30,15.33,ExternalWorks!A30,External Works,2m
EXT20,EXT20,Excavate pits; not exceeding 4m dp,m3,External Works,Groundworks,16.86,ExternalWorks!E31,16.86,ExternalWorks!A31,External Works,4m
EXT21,EXT21,Excavate trenches; not exceeding 0.25m dp,m3,External Works,Groundworks,14.29,ExternalWorks!E32,14.29,ExternalWorks!A32,External Works,25m
EXT22,EXT22,Excavate trenches; not exceeding 1m dp,m3,External Works,Groundworks,12.04,ExternalWorks!E33,12.04,ExternalWorks!A33,External Works,1m
EXT23,EXT23,Excavate trenches; not exceeding 2m dp,m3,External Works,Groundworks,12.97,ExternalWorks!E34,12.97,ExternalWorks!A34,External Works,2m
EXT24,EXT24,Excavate trenches; not exceeding 4m dp,m3,External Works,Groundworks,14.29,ExternalWorks!E35,14.29,ExternalWorks!A35,External Works,4m
EXT25,EXT25,Excavate by hand; inside existing buildings & get out,m3,External Works,Groundworks,94.86,ExternalWorks!E36,94.86,ExternalWorks!A36,External Works,
EXT26,EXT26,Regrade slopes to ditch,m2,External Works,Groundworks,4.47,ExternalWorks!E37,4.47,ExternalWorks!A37,External Works,
