id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
GR1,GR1,Excavation quantities based on existing ground level being m OD,item,Groundworks,Preambles,0.0,Groundworks!G11,0.0,Groundworks!A11,Groundworks,excavation
GR2,GR2,No allowance has been made for dealing with contaminated ground,item,Groundworks,Preambles,0.0,Groundworks!G12,0.0,Groundworks!A12,Groundworks,
GR3,GR3,Tender based on drawings:,item,Groundworks,Preambles,0.0,Groundworks!G13,0.0,Groundworks!A13,Groundworks,
GR4,GR4,Demolish existing timber & plaster partitions/floors/roofs (Reduce elements to solid m3),m3,Groundworks,Demolition,158.66,Groundworks!F16,158.66,Groundworks!A16,Groundworks,
GR5,GR5,Demolish existing brickwork/blockwork/plaster (Reduce walls to solid m3),m3,Groundworks,Demolition,120.3,Groundworks!F17,120.3,Groundworks!A17,Groundworks,
GR6,GR6,"Demolish existing RC structure inc breakup, load & C/A (reduce to solid m3)",m3,Groundworks,Demolition,209.55,Groundworks!F18,209.55,Groundworks!A18,Groundworks,
GR7,GR7,Break up & remove existing GF concrete slabs,m3,Groundworks,Demolition,74.67,Groundworks!F19,74.67,Groundworks!A19,Groundworks,
GR8,GR8,Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers,m3,Groundworks,Demolition,133.85,Groundworks!F20,133.85,Groundworks!A20,Groundworks,foundation|compact
GR9,GR9,Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers,m3,Groundworks,Demolition,109.21,Groundworks!F21,109.21,Groundworks!A21,Groundworks,foundation|compact
GR10,GR10,Grub up & remove existing basements and underground structures and backfill voids with structural granular fill well compacted in layers; total gross volume m3,m3,Groundworks,Demolition,75.34,Groundworks!F22,75.34,Groundworks!A22,Groundworks,compact
GR11,GR11,Temporary works required for demolition,m2,Groundworks,Demolition,109.28,Groundworks!F23,109.28,Groundworks!A23,Groundworks,
GR12,GR12,Crash deck under slab break outs,m2,Groundworks,Demolition,35.11,Groundworks!F24,35.11,Groundworks!A24,Groundworks,
GR13,GR13,Excavate by hand; inside existing buildings & get out,m3,Groundworks,Demolition,91.78,Groundworks!F25,91.78,Groundworks!A25,Groundworks,
GR14,GR14,Excavate by hand; in confined space within building & get out,m3,Groundworks,Demolition,128.75,Groundworks!F26,128.75,Groundworks!A26,Groundworks,
