id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
1,1,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete GEN1 / C10 / ST2,188.16,RC works!F13,188.16,RC works!A13,RC works,
2,2,Blinding: 50mm thk,m2,RC works,Plain Concrete GEN1 / C10 / ST2,9.41,RC works!F14,9.41,RC works!A14,RC works,
3,3,Blinding: 75mm thk,m2,RC works,Plain Concrete GEN1 / C10 / ST2,14.11,RC works!F15,14.11,RC works!A15,RC works,
4,4,Blinding not exceeding 150 thk; sloping,m3,RC works,Plain Concrete GEN1 / C10 / ST2,201.5,RC works!F16,201.5,RC works!A16,RC works,
5,5,Blinding: 50mm thk; sloping,m2,RC works,Plain Concrete GEN1 / C10 / ST2,28.08,RC works!F17,28.08,RC works!A17,RC works,
6,6,Bed; 150-450mm thk,m3,RC works,Plain Concrete GEN1 / C10 / ST2,182.52,RC works!F18,182.52,RC works!A18,RC works,
7,7,"Back blinding 150 thk; vertical, inc formwork",m2,RC works,Plain Concrete GEN1 / C10 / ST2,142.57,RC works!F19,142.57,RC works!A19,RC works,formwork
8,8,Mass fill / pad foundation,m3,RC works,Plain Concrete GEN1 / C10 / ST2,173.2,RC works!F20,173.2,RC works!A20,RC works,foundation
9,9,Filling hollow walls; not exceeding 150mm,m3,RC works,Plain Concrete GEN1 / C10 / ST2,382.54,RC works!F21,382.54,RC works!A21,RC works,wall
10,10,Filling to vaults,m3,RC works,Plain Concrete Foamed; 1000-1200kg/m3; 10N/mm2,140.43,RC works!F24,140.43,RC works!A24,RC works,
11,11,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete GEN2 / C15 / ST3,189.52,RC works!F27,189.52,RC works!A27,RC works,
12,12,Blinding not exceeding 150 thk; 50mm thk,m2,RC works,Plain Concrete GEN2 / C15 / ST3,9.48,RC works!F28,9.48,RC works!A28,RC works,
13,13,Blinding not exceeding 150 thk; sloping,m3,RC works,Plain Concrete GEN2 / C15 / ST3,202.86,RC works!F29,202.86,RC works!A29,RC works,
14,14,Pad foundations,m3,RC works,Plain Concrete GEN2 / C15 / ST3,174.49,RC works!F30,174.49,RC works!A30,RC works,foundation
15,15,Strip foundations,m3,RC works,Plain Concrete GEN2 / C15 / ST3,175.03,RC works!F31,175.03,RC works!A31,RC works,foundation
16,16,Filling hollow walls; not exceeding 150mm,m3,RC works,Plain Concrete GEN2 / C15 / ST3,383.96,RC works!F32,383.96,RC works!A32,RC works,wall
17,17,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete GEN3 / C20 / ST4,190.88,RC works!F35,190.88,RC works!A35,RC works,
18,18,Blinding: 50mm thk,m2,RC works,Plain Concrete GEN3 / C20 / ST4,9.54,RC works!F36,9.54,RC works!A36,RC works,
19,19,Pad foundations,m3,RC works,Plain Concrete GEN3 / C20 / ST4,175.79,RC works!F37,175.79,RC works!A37,RC works,foundation
20,20,Strip footings,m3,RC works,Plain Concrete GEN3 / C20 / ST4,176.32,RC works!F38,176.32,RC works!A38,RC works,
21,21,Bed; 150-450mm thk,m3,RC works,Plain Concrete GEN3 / C20 / ST4,170.96,RC works!F39,170.96,RC works!A39,RC works,
22,22,Bed; ex 450mm thk,m3,RC works,Plain Concrete GEN3 / C20 / ST4,170.42,RC works!F40,170.42,RC works!A40,RC works,
23,23,Mass fill,m3,RC works,Plain Concrete GEN3 / C20 / ST4,175.79,RC works!F41,175.79,RC works!A41,RC works,
24,24,Filling hollow walls; not exceeding 150mm,m3,RC works,Plain Concrete GEN3 / C20 / ST4,385.37,RC works!F42,385.37,RC works!A42,RC works,wall
25,25,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete C25,192.24,RC works!F45,192.24,RC works!A45,RC works,
26,26,Mass fill footings,m3,RC works,Plain Concrete C25,178.16,RC works!F46,178.16,RC works!A46,RC works,
27,27,Mass fill isolated bases,m3,RC works,Plain Concrete C25,177.09,RC works!F47,177.09,RC works!A47,RC works,
28,28,Mass concrete steps,m3,RC works,Plain Concrete C25,215.54,RC works!F48,215.54,RC works!A48,RC works,concrete
29,29,Bed; 150-450mm thk,m3,RC works,Plain Concrete C25,170.05,RC works!F49,170.05,RC works!A49,RC works,
30,30,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,194.95,RC works!F52,194.95,RC works!A52,RC works,
31,31,Mass fill footings / strip foundations,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,172.37,RC works!F53,172.37,RC works!A53,RC works,foundation
32,32,Mass fill isolated bases,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,172.9,RC works!F54,172.9,RC works!A54,RC works,
33,33,Mass concrete steps,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,220.93,RC works!F55,220.93,RC works!A55,RC works,concrete
34,34,Bed; not exceeding 150mm thk,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,183.65,RC works!F56,183.65,RC works!A56,RC works,
35,35,Bed; 150-450mm thk,m3,RC works,Plain Concrete C30; DS/DC/AC-2/3/4,172.23,RC works!F57,172.23,RC works!A57,RC works,
36,36,Blinding not exceeding 150 thk,m3,RC works,Plain Concrete FND2 (C35),197.66,RC works!F60,197.66,RC works!A60,RC works,
37,37,Pad foundations,m3,RC works,Plain Concrete FND2 (C35),189.72,RC works!F61,189.72,RC works!A61,RC works,foundation
38,38,Strip footings,m3,RC works,Plain Concrete FND2 (C35),190.25,RC works!F62,190.25,RC works!A62,RC works,
39,39,Filling hollow walls; not exceeding 150mm,m3,RC works,Plain Concrete FND2 (C35),392.45,RC works!F63,392.45,RC works!A63,RC works,wall
40,40,Pad foundations,m3,RC works,Plain Concrete C40; DS/DC/AC-2/3/4,184.88,RC works!F66,184.88,RC works!A66,RC works,foundation
41,41,Bed; 150-450mm thk,m3,RC works,Plain Concrete C40; DS/DC/AC-2/3/4,187.18,RC works!F67,187.18,RC works!A67,RC works,
42,42,Strip footings,m3,RC works,Plain Concrete C40; DS/DC/AC-2/3/4,185.41,RC works!F68,185.41,RC works!A68,RC works,
1,1,Pile caps / foundations,m3,RC works,Reinforced Concrete C25; DS/DC/AC-2/3/4,166.29,RC works!F73,166.29,RC works!A73,RC works,foundation
43,43,Bed; 150-450mm thk,m3,RC works,Reinforced Concrete C25; DS/DC/AC-2/3/4,168.6,RC works!F74,168.6,RC works!A74,RC works,
44,44,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete C25; DS/DC/AC-2/3/4,189.52,RC works!F75,189.52,RC works!A75,RC works,wall
44,44,Slabs/Topping; not exceeding 150mm thk,m3,RC works,Reinforced Concrete C30,186.26,RC works!F78,186.26,RC works!A78,RC works,slab
45,45,Slabs/Topping; 50mm thk,m2,RC works,Reinforced Concrete C30,10.24,RC works!F79,10.24,RC works!A79,RC works,slab
46,46,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete C30,191.92,RC works!F80,191.92,RC works!A80,RC works,wall
47,47,Pile caps / foundations,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,171.13,RC works!F83,171.13,RC works!A83,RC works,foundation
48,48,Ground beams,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,172.44,RC works!F84,172.44,RC works!A84,RC works,beam
49,49,Bed; not exceeding 150mm thk,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,185.05,RC works!F85,185.05,RC works!A85,RC works,
50,50,Bed; not exceeding 150mm thk; sloping,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,190.92,RC works!F86,190.92,RC works!A86,RC works,
51,51,Bed; 150-450mm thk,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,174.65,RC works!F87,174.65,RC works!A87,RC works,
52,52,Bed; 150-450mm thk; sloping,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,178.43,RC works!F88,178.43,RC works!A88,RC works,
53,53,Bed; ex 450mm thk,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,173.63,RC works!F89,173.63,RC works!A89,RC works,
54,54,Capping beam / beam,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,183.09,RC works!F90,183.09,RC works!A90,RC works,beam
55,55,Columns/Stub columns (under slab),m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,206.18,RC works!F91,206.18,RC works!A91,RC works,slab|column
56,56,Column casings,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,297.25,RC works!F92,297.25,RC works!A92,RC works,column
57,57,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,194.31,RC works!F93,194.31,RC works!A93,RC works,wall
58,58,Lift pit base & walls,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,212.39,RC works!F94,212.39,RC works!A94,RC works,wall
59,59,Upstands,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,212.39,RC works!F95,212.39,RC works!A95,RC works,
60,60,Slabs; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C35, RC35",190.18,RC works!F98,190.18,RC works!A98,RC works,slab
61,61,Slabs; 150-450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",178.54,RC works!F99,178.54,RC works!A99,RC works,slab
62,62,Slabs; 150-450mm thk; sloping,m3,RC works,"Reinforced Concrete C35, RC35",182.38,RC works!F100,182.38,RC works!A100,RC works,slab
63,63,Slabs; ex 450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",178.27,RC works!F101,178.27,RC works!A101,RC works,slab
64,64,Attached beams,m3,RC works,"Reinforced Concrete C35, RC35",178.54,RC works!F102,178.54,RC works!A102,RC works,beam
65,65,Isolated beams,m3,RC works,"Reinforced Concrete C35, RC35",239.42,RC works!F103,239.42,RC works!A103,RC works,beam
66,66,Walls; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C35, RC35",210.05,RC works!F104,210.05,RC works!A104,RC works,wall
67,67,Walls; 150-450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",193.75,RC works!F105,193.75,RC works!A105,RC works,wall
68,68,Walls; ex 450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",191.64,RC works!F106,191.64,RC works!A106,RC works,wall
69,69,Attached piers,m3,RC works,"Reinforced Concrete C35, RC35",194.53,RC works!F107,194.53,RC works!A107,RC works,
70,70,Columns,m3,RC works,"Reinforced Concrete C35, RC35",198.19,RC works!F108,198.19,RC works!A108,RC works,column
71,71,Column casings,m3,RC works,"Reinforced Concrete C35, RC35",229.6,RC works!F109,229.6,RC works!A109,RC works,column
72,72,Lift pit base & walls,m3,RC works,"Reinforced Concrete C35, RC35",212.39,RC works!F110,212.39,RC works!A110,RC works,wall
73,73,Upstands,m3,RC works,"Reinforced Concrete C35, RC35",212.39,RC works!F111,212.39,RC works!A111,RC works,
74,74,Plinths,m3,RC works,"Reinforced Concrete C35, RC35",211.64,RC works!F112,211.64,RC works!A112,RC works,
75,75,Stairs / landings,m3,RC works,"Reinforced Concrete C35, RC35",215.29,RC works!F113,215.29,RC works!A113,RC works,
76,76,Topping slabs to metal decking; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C35, RC35",190.18,RC works!F114,190.18,RC works!A114,RC works,slab
77,77,Topping slabs to metal decking; 150-450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",179.78,RC works!F115,179.78,RC works!A115,RC works,slab
78,78,Pile caps/foundations/bases,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",173.55,RC works!F118,173.55,RC works!A118,RC works,foundation
79,79,Ground beams,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",174.86,RC works!F119,174.86,RC works!A119,RC works,beam
80,80,Bed; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",187.47,RC works!F120,187.47,RC works!A120,RC works,
81,81,Bed; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",177.06,RC works!F121,177.06,RC works!A121,RC works,
82,82,Bed; 150-450mm thk; sloping,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",180.85,RC works!F122,180.85,RC works!A122,RC works,
83,83,Bed; ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",176.05,RC works!F123,176.05,RC works!A123,RC works,
84,84,Steps in slabs/Upstands/Pit walls/Sumps; 150-450,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",216.3,RC works!F124,216.3,RC works!A124,RC works,slab|wall
85,85,Capping beam,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",183.5,RC works!F125,183.5,RC works!A125,RC works,beam
86,86,Slabs; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",178.21,RC works!F126,178.21,RC works!A126,RC works,slab
87,87,Walls; 150-450mm thk; retaining / lining wall,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",198.22,RC works!F127,198.22,RC works!A127,RC works,wall
88,88,Dwarf Walls; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",216.9,RC works!F128,216.9,RC works!A128,RC works,wall
89,89,Stub Columns / Beams / Corbel,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",263.23,RC works!F129,263.23,RC works!A129,RC works,beam|column
90,90,Stairs / steps,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",219.2,RC works!F130,219.2,RC works!A130,RC works,
91,91,Piles; 300mm dia,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",189.72,RC works!F131,189.72,RC works!A131,RC works,
92,92,Slabs; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40",191.05,RC works!F134,191.05,RC works!A134,RC works,slab
93,93,Slabs; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",179.4,RC works!F135,179.4,RC works!A135,RC works,slab
94,94,Slabs; 150-450mm thk; balconies,m3,RC works,"Reinforced Concrete C40, RC40",185.17,RC works!F136,185.17,RC works!A136,RC works,slab
95,95,Slabs; 150-450mm thk; PT slabs,m3,RC works,"Reinforced Concrete C40, RC40",179.4,RC works!F137,179.4,RC works!A137,RC works,slab
96,96,Slabs; 150-450mm thk; sloping,m3,RC works,"Reinforced Concrete C40, RC40",183.24,RC works!F138,183.24,RC works!A138,RC works,slab
97,97,Slabs; ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",178.87,RC works!F139,178.87,RC works!A139,RC works,slab
98,98,Slabs; ex 450mm thk; PT slabs,m3,RC works,"Reinforced Concrete C40, RC40",172.95,RC works!F140,172.95,RC works!A140,RC works,slab
99,99,Slabs; ex 450mm thk; sloping,m3,RC works,"Reinforced Concrete C40, RC40",182.6,RC works!F141,182.6,RC works!A141,RC works,slab
100,100,Attached beams,m3,RC works,"Reinforced Concrete C40, RC40",179.4,RC works!F142,179.4,RC works!A142,RC works,beam
101,101,Isolated beams,m3,RC works,"Reinforced Concrete C40, RC40",247.71,RC works!F143,247.71,RC works!A143,RC works,beam
102,102,Isolated beam casings,m3,RC works,"Reinforced Concrete C40, RC40",268.03,RC works!F144,268.03,RC works!A144,RC works,beam
103,103,Walls; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40",211.13,RC works!F145,211.13,RC works!A145,RC works,wall
104,104,Walls; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",196.71,RC works!F146,196.71,RC works!A146,RC works,wall
105,105,Core walls; jumpform; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",199.3,RC works!F147,199.3,RC works!A147,RC works,wall
106,106,Core walls; slipform (shift slipping); 150-450mm thick A,m3,RC works,"Reinforced Concrete C40, RC40",165.7,RC works!F148,165.7,RC works!A148,RC works,450mmthick|wall
107,107,Core walls; slipform (24/7 slipping); ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",283.82,RC works!F149,283.82,RC works!A149,RC works,wall
108,108,Walls; ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",195.37,RC works!F150,195.37,RC works!A150,RC works,wall
109,109,Corbels,m3,RC works,"Reinforced Concrete C40, RC40",268.03,RC works!F151,268.03,RC works!A151,RC works,
110,110,Attached piers/cols,m3,RC works,"Reinforced Concrete C40, RC40",197.46,RC works!F152,197.46,RC works!A152,RC works,
111,111,Columns,m3,RC works,"Reinforced Concrete C40, RC40",200.59,RC works!F153,200.59,RC works!A153,RC works,column
112,112,Column casings,m3,RC works,"Reinforced Concrete C40, RC40",299.64,RC works!F154,299.64,RC works!A154,RC works,column
113,113,Upstands/parapets,m3,RC works,"Reinforced Concrete C40, RC40",214.68,RC works!F155,214.68,RC works!A155,RC works,
114,114,Plinths,m3,RC works,"Reinforced Concrete C40, RC40",214.03,RC works!F156,214.03,RC works!A156,RC works,
115,115,Stairs / landings,m3,RC works,"Reinforced Concrete C40, RC40",217.69,RC works!F157,217.69,RC works!A157,RC works,
116,116,Topping slabs to metal decking; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40",191.05,RC works!F158,191.05,RC works!A158,RC works,slab
117,117,Concrete screed 75mm thk,m2,RC works,"Reinforced Concrete C40, RC40",28.66,RC works!F159,28.66,RC works!A159,RC works,concrete
118,118,Pile caps/foundations/bases,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,177.18,RC works!F162,177.18,RC works!A162,RC works,foundation
119,119,Ground beams,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,178.49,RC works!F163,178.49,RC works!A163,RC works,beam
120,120,Bed; 150-450mm thk,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,180.69,RC works!F164,180.69,RC works!A164,RC works,
121,121,Bed; ex 450mm thk,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,179.67,RC works!F165,179.67,RC works!A165,RC works,
122,122,Steps in slabs/Upstands/Pit walls/Sumps; 150-450,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,222.35,RC works!F166,222.35,RC works!A166,RC works,slab|wall
123,123,Capping beam,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,187.13,RC works!F167,187.13,RC works!A167,RC works,beam
124,124,Slabs; 150-450mm thk,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,181.8,RC works!F168,181.8,RC works!A168,RC works,slab
125,125,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,200.52,RC works!F169,200.52,RC works!A169,RC works,wall
