id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
1,1,Excavate preliminary trench (by hand),m3,Underpinning,Trench Excavation,45.6,Underpinning!E13,45.6,Underpinning!A13,Underpinning,trench
2,2,Clean face of brickwork/concrete exposed during excavations,m2,Underpinning,Excavation,11.2,Underpinning!E14,11.2,Underpinning!A14,Underpinning,"excavation,concrete"
3,3,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E16,58.79,Underpinning!A16,Underpinning,excavation
4,4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E17,4.8,Underpinning!A17,Underpinning,excavation
5,5,EWS; not exceeding 1m,m2,Underpinning,Underpinning,9.89,Underpinning!E18,9.89,Underpinning!A18,Underpinning,1m
6,6,Filling; with SEM,m3,Underpinning,Underpinning,39.79,Underpinning!E19,39.79,Underpinning!A19,Underpinning,
7,1,Excavate preliminary trench (by hand),m3,Underpinning,Trench Excavation,70.28,Underpinning!E22,70.28,Underpinning!A22,Underpinning,trench
8,2,Clean face of brickwork/concrete exposed during excavations,m2,Underpinning,Excavation,11.2,Underpinning!E23,11.2,Underpinning!A23,Underpinning,"excavation,concrete"
9,3,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E25,58.79,Underpinning!A25,Underpinning,excavation
10,4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E26,4.8,Underpinning!A26,Underpinning,excavation
11,5,EWS; not exceeding 2m,m2,Underpinning,Underpinning,20.41,Underpinning!E27,20.41,Underpinning!A27,Underpinning,2m
12,6,Filling; with SEM,m3,Underpinning,Underpinning,39.79,Underpinning!E28,39.79,Underpinning!A28,Underpinning,
13,1,Excavate underpinning trench (by hand),m3,Underpinning,Underpinning Excavation,78.51,Underpinning!E31,78.51,Underpinning!A31,Underpinning,"underpinning,trench"
14,2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E33,58.79,Underpinning!A33,Underpinning,excavation
15,3,EWS; not exceeding 1m,m2,Underpinning,Underpinning,15.01,Underpinning!E34,15.01,Underpinning!A34,Underpinning,1m
16,4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E35,4.8,Underpinning!A35,Underpinning,excavation
17,5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E37,277.75,Underpinning!A37,Underpinning,
18,6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E38,50.86,Underpinning!A38,Underpinning,
19,7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E39,26.02,Underpinning!A39,Underpinning,
20,8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E40,11.2,Underpinning!A40,Underpinning,concrete
21,9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E41,5.63,Underpinning!A41,Underpinning,
22,10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E42,77.81,Underpinning!A42,Underpinning,
23,11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E43,4.8,Underpinning!A43,Underpinning,
24,12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E44,63.31,Underpinning!A44,Underpinning,"1000mm,foundation"
25,13,Dry pack to underside of existing foundation; not exceeding 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E45,109.53,Underpinning!A45,Underpinning,"1000mm,foundation"
26,1,Excavate underpinning trench (by hand),m3,Underpinning,Plain Concrete FND2,85.1,Underpinning!E48,85.1,Underpinning!A48,Underpinning,"underpinning,trench"
27,2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,58.79,Underpinning!E50,58.79,Underpinning!A50,Underpinning,excavation
28,3,EWS; not exceeding 2m,m2,Underpinning,Plain Concrete FND2,31.2,Underpinning!E51,31.2,Underpinning!A51,Underpinning,2m
29,4,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E52,4.8,Underpinning!A52,Underpinning,excavation
30,5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E54,277.75,Underpinning!A54,Underpinning,
31,6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E55,50.86,Underpinning!A55,Underpinning,
32,7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E56,26.02,Underpinning!A56,Underpinning,
33,8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E57,11.2,Underpinning!A57,Underpinning,concrete
34,9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E58,5.63,Underpinning!A58,Underpinning,
35,10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E59,77.81,Underpinning!A59,Underpinning,
36,11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E60,4.8,Underpinning!A60,Underpinning,
37,12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E61,63.31,Underpinning!A61,Underpinning,"1000mm,foundation"
38,13,Dry pack to underside of existing foundation; not exceeding 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E62,109.53,Underpinning!A62,Underpinning,"1000mm,foundation"
39,1,Excavate underpinning trench (by hand),m3,Underpinning,Plain Concrete FND2,101.55,Underpinning!E65,101.55,Underpinning!A65,Underpinning,"underpinning,trench"
40,2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,58.79,Underpinning!E67,58.79,Underpinning!A67,Underpinning,excavation
41,3,EWS; not exceeding 3m,m2,Underpinning,Plain Concrete FND2,47.99,Underpinning!E68,47.99,Underpinning!A68,Underpinning,3m
42,4,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E69,4.8,Underpinning!A69,Underpinning,excavation
43,5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E71,277.75,Underpinning!A71,Underpinning,
44,6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E72,50.86,Underpinning!A72,Underpinning,
45,7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E73,26.02,Underpinning!A73,Underpinning,
46,8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E74,11.2,Underpinning!A74,Underpinning,concrete
47,9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E75,5.63,Underpinning!A75,Underpinning,
48,10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E76,77.81,Underpinning!A76,Underpinning,
49,11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E77,4.8,Underpinning!A77,Underpinning,
50,12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E78,63.31,Underpinning!A78,Underpinning,"1000mm,foundation"
51,13,Dry pack to underside of existing foundation; not exceeding 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E79,109.53,Underpinning!A79,Underpinning,"1000mm,foundation"
52,1,Excavate underpinning trench (by hand); not exceeding 4m dp,m3,Underpinning,Plain Concrete FND2,131.18,Underpinning!E82,131.18,Underpinning!A82,Underpinning,"4m,underpinning,trench"
53,2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,58.79,Underpinning!E84,58.79,Underpinning!A84,Underpinning,excavation
54,3,EWS; not exceeding 4m,m2,Underpinning,Plain Concrete FND2,69.49,Underpinning!E85,69.49,Underpinning!A85,Underpinning,4m
55,4,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E86,4.8,Underpinning!A86,Underpinning,excavation
56,5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E88,277.75,Underpinning!A88,Underpinning,
57,6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E89,50.86,Underpinning!A89,Underpinning,
58,7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E90,26.02,Underpinning!A90,Underpinning,
59,8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E91,11.2,Underpinning!A91,Underpinning,concrete
60,9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E92,5.63,Underpinning!A92,Underpinning,
61,10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E93,77.81,Underpinning!A93,Underpinning,
62,11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E94,4.8,Underpinning!A94,Underpinning,
63,12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E95,63.31,Underpinning!A95,Underpinning,"1000mm,foundation"
64,13,Dry pack to underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E96,109.53,Underpinning!A96,Underpinning,"1000mm,foundation"
65,1,Exc preliminary trench (by hand & excvtr); not exceeding 1m dp,m3,Underpinning,Plain Concrete FND2,45.6,Underpinning!E99,45.6,Underpinning!A99,Underpinning,"1m,trench"
66,2,Exc preliminary trench (by hand & excvtr); not exceeding 2m dp,m3,Underpinning,Plain Concrete FND2,70.28,Underpinning!E100,70.28,Underpinning!A100,Underpinning,"2m,trench"
67,3,Exc preliminary trench (by hand & excvtr); not exceeding 4m dp,m3,Underpinning,Plain Concrete FND2,94.97,Underpinning!E101,94.97,Underpinning!A101,Underpinning,"4m,trench"
68,4,Exc preliminary trench (by hand & excvtr); not exceeding 6m dp,m3,Underpinning,Plain Concrete FND2,121.3,Underpinning!E102,121.3,Underpinning!A102,Underpinning,"6m,trench"
69,5,Excavate underpinning trench (by hand); not exceeding 1m dp,m3,Underpinning,Plain Concrete FND2,78.51,Underpinning!E103,78.51,Underpinning!A103,Underpinning,"1m,underpinning,trench"
70,6,Excavate underpinning trench (by hand); not exceeding 2m dp,m3,Underpinning,Plain Concrete FND2,85.1,Underpinning!E104,85.1,Underpinning!A104,Underpinning,"2m,underpinning,trench"
