id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
UND1,UND1,Excavate preliminary trench (by hand),m3,Underpinning,Trench Excavation,45.6,Underpinning!E13,45.6,Underpinning!A13,Underpinning,trench
UND2,UND2,Clean face of brickwork/concrete exposed during excavations,m2,Underpinning,Excavation,11.2,Underpinning!E14,11.2,Underpinning!A14,Underpinning,"excavation,concrete"
UND3,UND3,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E16,58.79,Underpinning!A16,Underpinning,excavation
UND4,UND4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E17,4.8,Underpinning!A17,Underpinning,excavation
UND5,UND5,EWS; not exceeding 1m,m2,Underpinning,Underpinning,9.89,Underpinning!E18,9.89,Underpinning!A18,Underpinning,1m
UND6,UND6,Filling; with SEM,m3,Underpinning,Underpinning,39.79,Underpinning!E19,39.79,Underpinning!A19,Underpinning,
UND7,UND1,Excavate preliminary trench (by hand),m3,Underpinning,Trench Excavation,70.28,Underpinning!E22,70.28,Underpinning!A22,Underpinning,trench
UND8,UND2,Clean face of brickwork/concrete exposed during excavations,m2,Underpinning,Excavation,11.2,Underpinning!E23,11.2,Underpinning!A23,Underpinning,"excavation,concrete"
UND9,UND3,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E25,58.79,Underpinning!A25,Underpinning,excavation
UND10,UND4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E26,4.8,Underpinning!A26,Underpinning,excavation
UND11,UND5,EWS; not exceeding 2m,m2,Underpinning,Underpinning,20.41,Underpinning!E27,20.41,Underpinning!A27,Underpinning,2m
UND12,UND6,Filling; with SEM,m3,Underpinning,Underpinning,39.79,Underpinning!E28,39.79,Underpinning!A28,Underpinning,
UND13,UND1,Excavate underpinning trench (by hand),m3,Underpinning,Underpinning Excavation,78.51,Underpinning!E31,78.51,Underpinning!A31,Underpinning,"underpinning,trench"
UND14,UND2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E33,58.79,Underpinning!A33,Underpinning,excavation
UND15,UND3,EWS; not exceeding 1m,m2,Underpinning,Underpinning,15.01,Underpinning!E34,15.01,Underpinning!A34,Underpinning,1m
UND16,UND4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E35,4.8,Underpinning!A35,Underpinning,excavation
UND17,UND5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E37,277.75,Underpinning!A37,Underpinning,
UND18,UND6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E38,50.86,Underpinning!A38,Underpinning,
UND19,UND7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E39,26.02,Underpinning!A39,Underpinning,
UND20,UND8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E40,11.2,Underpinning!A40,Underpinning,concrete
UND21,UND9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E41,5.63,Underpinning!A41,Underpinning,
UND22,UND10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E42,77.81,Underpinning!A42,Underpinning,
UND23,UND11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E43,4.8,Underpinning!A43,Underpinning,
UND24,UND12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E44,63.31,Underpinning!A44,Underpinning,"1000mm,foundation"
UND25,UND13,Dry pack to underside of existing foundation; not exceeding 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E45,109.53,Underpinning!A45,Underpinning,"1000mm,foundation"
UND26,UND1,Excavate underpinning trench (by hand),m3,Underpinning,Plain Concrete FND2,85.1,Underpinning!E48,85.1,Underpinning!A48,Underpinning,"underpinning,trench"
UND27,UND2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,58.79,Underpinning!E50,58.79,Underpinning!A50,Underpinning,excavation
UND28,UND3,EWS; not exceeding 2m,m2,Underpinning,Plain Concrete FND2,31.2,Underpinning!E51,31.2,Underpinning!A51,Underpinning,2m
UND29,UND4,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E52,4.8,Underpinning!A52,Underpinning,excavation
UND30,UND5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E54,277.75,Underpinning!A54,Underpinning,
UND31,UND6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E55,50.86,Underpinning!A55,Underpinning,
UND32,UND7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E56,26.02,Underpinning!A56,Underpinning,
UND33,UND8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E57,11.2,Underpinning!A57,Underpinning,concrete
UND34,UND9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E58,5.63,Underpinning!A58,Underpinning,
UND35,UND10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E59,77.81,Underpinning!A59,Underpinning,
UND36,UND11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E60,4.8,Underpinning!A60,Underpinning,
UND37,UND12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E61,63.31,Underpinning!A61,Underpinning,"1000mm,foundation"
UND38,UND13,Dry pack to underside of existing foundation; not exceeding 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E62,109.53,Underpinning!A62,Underpinning,"1000mm,foundation"
UND39,UND1,Excavate underpinning trench (by hand),m3,Underpinning,Plain Concrete FND2,101.55,Underpinning!E65,101.55,Underpinning!A65,Underpinning,"underpinning,trench"
UND40,UND2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,58.79,Underpinning!E67,58.79,Underpinning!A67,Underpinning,excavation
UND41,UND3,EWS; not exceeding 3m,m2,Underpinning,Plain Concrete FND2,47.99,Underpinning!E68,47.99,Underpinning!A68,Underpinning,3m
UND42,UND4,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E69,4.8,Underpinning!A69,Underpinning,excavation
UND43,UND5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E71,277.75,Underpinning!A71,Underpinning,
UND44,UND6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E72,50.86,Underpinning!A72,Underpinning,
UND45,UND7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E73,26.02,Underpinning!A73,Underpinning,
UND46,UND8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E74,11.2,Underpinning!A74,Underpinning,concrete
UND47,UND9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E75,5.63,Underpinning!A75,Underpinning,
UND48,UND10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E76,77.81,Underpinning!A76,Underpinning,
UND49,UND11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E77,4.8,Underpinning!A77,Underpinning,
UND50,UND12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E78,63.31,Underpinning!A78,Underpinning,"1000mm,foundation"
UND51,UND13,Dry pack to underside of existing foundation; not exceeding 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E79,109.53,Underpinning!A79,Underpinning,"1000mm,foundation"
UND52,UND1,Excavate underpinning trench (by hand); not exceeding 4m dp,m3,Underpinning,Plain Concrete FND2,131.18,Underpinning!E82,131.18,Underpinning!A82,Underpinning,"4m,underpinning,trench"
UND53,UND2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,58.79,Underpinning!E84,58.79,Underpinning!A84,Underpinning,excavation
UND54,UND3,EWS; not exceeding 4m,m2,Underpinning,Plain Concrete FND2,69.49,Underpinning!E85,69.49,Underpinning!A85,Underpinning,4m
UND55,UND4,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E86,4.8,Underpinning!A86,Underpinning,excavation
UND56,UND5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E88,277.75,Underpinning!A88,Underpinning,
UND57,UND6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E89,50.86,Underpinning!A89,Underpinning,
UND58,UND7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E90,26.02,Underpinning!A90,Underpinning,
UND59,UND8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E91,11.2,Underpinning!A91,Underpinning,concrete
UND60,UND9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E92,5.63,Underpinning!A92,Underpinning,
UND61,UND10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E93,77.81,Underpinning!A93,Underpinning,
UND62,UND11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E94,4.8,Underpinning!A94,Underpinning,
UND63,UND12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E95,63.31,Underpinning!A95,Underpinning,"1000mm,foundation"
UND64,UND13,Dry pack to underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E96,109.53,Underpinning!A96,Underpinning,"1000mm,foundation"
UND65,UND1,Exc preliminary trench (by hand & excvtr); not exceeding 1m dp,m3,Underpinning,Plain Concrete FND2,45.6,Underpinning!E99,45.6,Underpinning!A99,Underpinning,"1m,trench"
