id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
1,1,Site clearance,m2,External Works,Groundworks,0.09737654320987654,External Works!G12,0.09737654320987654,External Works!A12,External Works,
2,2,Site prep; clear vegetation,m2,External Works,Groundworks,0.2252777777777778,External Works!G13,0.2252777777777778,External Works!A13,External Works,
3,3,"Site prep; clear vegetation, bushes, small trees",m2,External Works,Groundworks,0.527888888888889,External Works!G14,0.527888888888889,External Works!A14,External Works,
4,4,Excavate topsoil for preservation,m3,External Works,Groundworks,1.1238888888888887,External Works!G15,1.1238888888888887,External Works!A15,External Works,
5,5,Excavate to reduce levels; not exceeding 250mm,m3,External Works,Groundworks,0.9436728395061726,External Works!G16,0.9436728395061726,External Works!A16,External Works,250mm
6,6,Excavate to reduce levels; not exceeding 1m,m3,External Works,Groundworks,0.7077546296296295,External Works!G17,0.7077546296296295,External Works!A17,External Works,1m
7,7,Excavate to reduce levels; not exceeding 2m,m3,External Works,Groundworks,0.8493055555555555,External Works!G18,0.8493055555555555,External Works!A18,External Works,2m
8,8,Excavate to reduce levels; not exceeding 4m,m3,External Works,Groundworks,1.051797385620915,External Works!G19,1.051797385620915,External Works!A19,External Works,4m
9,9,Excavate to reduce levels; not exceeding 1m (restricted headroom),m3,External Works,Groundworks,0.9434369212962962,External Works!G20,0.9434369212962962,External Works!A20,External Works,1m
10,10,Excavate basement; not exceeding 4m dp,m3,External Works,Groundworks,1.1175347222222223,External Works!G21,1.1175347222222223,External Works!A21,External Works,4m
11,11,Excavate basement; not exceeding 6m dp,m3,External Works,Groundworks,1.2771825396825396,External Works!G22,1.2771825396825396,External Works!A22,External Works,6m
12,12,Excavate basement; not exceeding 8m dp,m3,External Works,Groundworks,1.7880555555555555,External Works!G23,1.7880555555555555,External Works!A23,External Works,8m
13,13,Excavate basement; not exceeding 4m deep (dble handling),m3,External Works,Groundworks,1.853125,External Works!G24,1.853125,External Works!A24,External Works,4m
14,14,Excavate basement; not exceeding 6m deep (dble handling),m3,External Works,Groundworks,2.117857142857143,External Works!G25,2.117857142857143,External Works!A25,External Works,6m
15,15,Excavate basement; not exceeding 8m deep (dble handling),m3,External Works,Groundworks,2.965,External Works!G26,2.965,External Works!A26,External Works,8m
16,16,Excavate basement; not exceeding 10m deep (dble handling),m3,External Works,Groundworks,4.235714285714286,External Works!G27,4.235714285714286,External Works!A27,External Works,10m
17,17,Excavate open cut / swale,m3,External Works,Groundworks,1.7880555555555555,External Works!G28,1.7880555555555555,External Works!A28,External Works,
18,18,Excavate pits; not exceeding 1m dp,m3,External Works,Groundworks,2.809722222222222,External Works!G29,2.809722222222222,External Works!A29,External Works,1m
19,19,Excavate pits; not exceeding 2m dp,m3,External Works,Groundworks,3.0651515151515145,External Works!G30,3.0651515151515145,External Works!A30,External Works,2m
20,20,Excavate pits; not exceeding 4m dp,m3,External Works,Groundworks,3.3716666666666666,External Works!G31,3.3716666666666666,External Works!A31,External Works,4m
21,21,Excavate trenches; not exceeding 0.25m dp,m3,External Works,Groundworks,2.8573446327683616,External Works!G32,2.8573446327683616,External Works!A32,External Works,25m
22,22,Excavate trenches; not exceeding 1m dp,m3,External Works,Groundworks,2.408333333333333,External Works!G33,2.408333333333333,External Works!A33,External Works,1m
23,23,Excavate trenches; not exceeding 2m dp,m3,External Works,Groundworks,2.5935897435897437,External Works!G34,2.5935897435897437,External Works!A34,External Works,2m
24,24,Excavate trenches; not exceeding 4m dp,m3,External Works,Groundworks,2.8573446327683616,External Works!G35,2.8573446327683616,External Works!A35,External Works,4m
25,25,Excavate by hand; inside existing buildings & get out,m3,External Works,Groundworks,18.97222222222222,External Works!G36,18.97222222222222,External Works!A36,External Works,
26,26,Regrade slopes to ditch,m2,External Works,Groundworks,0.8940277777777778,External Works!G37,0.8940277777777778,External Works!A37,External Works,
27,27,Regrade ditch; 1m wide x 1m dp,m,External Works,Groundworks,1.2516388888888887,External Works!G38,1.2516388888888887,External Works!A38,External Works,"1m,1m"
28,28,EO excs for break out brickwork/rock obstructions (prov),m3,External Works,Groundworks,6.364814814814814,External Works!G39,6.364814814814814,External Works!A39,External Works,
29,29,EO excs for break out concrete obstructions (prov),m3,External Works,Groundworks,8.679292929292927,External Works!G40,8.679292929292927,External Works!A40,External Works,concrete
30,30,EO excs for break out reinfd concrete obstructions (prov),m3,External Works,Groundworks,11.934027777777777,External Works!G41,11.934027777777777,External Works!A41,External Works,concrete
31,31,EO excs for break out concrete slab; 150mm thk,m2,External Works,Groundworks,0.9113257575757573,External Works!G42,0.9113257575757573,External Works!A42,External Works,"150mm,concrete"
32,32,EO excs for break out tarmac paving; 100mm thk,m2,External Works,Groundworks,0.31824074074074077,External Works!G43,0.31824074074074077,External Works!A43,External Works,"100mm,paving,tarmac"
33,33,EO excs for break out concrete paving; 50mm thk,m2,External Works,Groundworks,0.15912037037037038,External Works!G44,0.15912037037037038,External Works!A44,External Works,"50mm,paving,concrete"
34,34,EO excs for break out concrete paving; 100mm thk,m2,External Works,Groundworks,0.31824074074074077,External Works!G45,0.31824074074074077,External Works!A45,External Works,"100mm,paving,concrete"
35,35,EO excs for break out kerbs/edgings inc conc footing,m,External Works,Groundworks,0.2864166666666666,External Works!G46,0.2864166666666666,External Works!A46,External Works,"kerb,edging"
36,36,EO excs for exc below grd water level (prov),m3,External Works,Groundworks,3.209003267973856,External Works!G47,3.209003267973856,External Works!A47,External Works,
37,37,EO excs for exc next to extg services (prov),m,External Works,Groundworks,1.836111111111111,External Works!G48,1.836111111111111,External Works!A48,External Works,
38,38,EO excs for exc around extg services crossing trench (prov),nr,External Works,Groundworks,5.652083333333333,External Works!G49,5.652083333333333,External Works!A49,External Works,
