id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
16,16,slabs,m³,Groundworks,Groundworks,547.55,Groundworks!F28,547.55,Groundworks!A28,Groundworks,
36,36,Bollard,nr,Groundworks,Groundworks,33.91,Groundworks!F48,33.91,Groundworks!A48,Groundworks,
77,77,load,item,Groundworks,Groundworks,300.0,Groundworks!F94,300.0,Groundworks!A94,Groundworks,
107,107,Design,item,Groundworks,Groundworks,1180.0,Groundworks!F125,1180.0,Groundworks!A125,Groundworks,
139,139,Design,item,Groundworks,Groundworks,2950.0,Groundworks!F157,2950.0,Groundworks!A157,Groundworks,
144,144,Piles for crane base,nr,Groundworks,Groundworks,1770.0,Groundworks!F162,1770.0,Groundworks!A162,Groundworks,
224,224,Exc ancilliaries; prepare surfaces,m²,Groundworks,Groundworks,0.11,Groundworks!F256,0.11,Groundworks!A256,Groundworks,
225,225,Exc ancilliaries; prepare surfaces; sloping,m²,Groundworks,Groundworks,1.08,Groundworks!F257,1.08,Groundworks!A257,Groundworks,
269,269,EO for using a conveyor,m³,Groundworks,Groundworks,11.85,Groundworks!F303,11.85,Groundworks!A303,Groundworks,
327,327,wks,item,Groundworks,Groundworks,1652.0,Groundworks!F361,1652.0,Groundworks!A361,Groundworks,
329,329,wks,item,Groundworks,Groundworks,4967.8,Groundworks!F363,4967.8,Groundworks!A363,Groundworks,
407,407,Welder,days,Groundworks,Groundworks,147.5,Groundworks!F448,147.5,Groundworks!A448,Groundworks,
459,459,load,item,Groundworks,Groundworks,300.0,Groundworks!F502,300.0,Groundworks!A502,Groundworks,
486,486,wks,item,Groundworks,Groundworks,1088.22,Groundworks!F539,1088.22,Groundworks!A539,Groundworks,
487,487,wks,item,Groundworks,Groundworks,1718.87,Groundworks!F540,1718.87,Groundworks!A540,Groundworks,
489,489,wks,item,Groundworks,Groundworks,94.4,Groundworks!F542,94.4,Groundworks!A542,Groundworks,
490,490,wks,item,Groundworks,Groundworks,496.26,Groundworks!F543,496.26,Groundworks!A543,Groundworks,
697,697,Seal & dress around pile,nr,Groundworks,Groundworks,24.46,Groundworks!F768,24.46,Groundworks!A768,Groundworks,
794,794,Seal & dress around pile,nr,Groundworks,Groundworks,14.78,Groundworks!F878,14.78,Groundworks!A878,Groundworks,
140,140,Corbel,m³,RC Works,RC works,233.87,RC works!F186,233.87,RC works!A186,RC works,
183,183,Benching,m³,RC Works,RC works,480.37,RC works!F243,480.37,RC works!A243,RC works,
