id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
1,1,Excavation quantities based on existing ground level being m OD,item,Groundworks,Preambles,0.0,Groundworks!G11,0.0,Groundworks!A11,Groundworks,excavation
2,2,No allowance has been made for dealing with contaminated ground,item,Groundworks,Preambles,0.0,Groundworks!G12,0.0,Groundworks!A12,Groundworks,
3,3,Tender based on drawings:,item,Groundworks,Preambles,0.0,Groundworks!G13,0.0,Groundworks!A13,Groundworks,
4,4,Demolish existing timber & plaster partitions/floors/roofs (Reduce elements to solid m3),m³,Groundworks,Demolition,158.66,Groundworks!F16,158.66,Groundworks!A16,Groundworks,
5,5,Demolish existing brickwork/blockwork/plaster (Reduce walls to solid m3),m³,Groundworks,Demolition,120.3,Groundworks!F17,120.3,Groundworks!A17,Groundworks,
6,6,"Demolish existing RC structure inc breakup, load & C/A (reduce to solid m3)",m³,Groundworks,Demolition,209.55,Groundworks!F18,209.55,Groundworks!A18,Groundworks,
7,7,Break up & remove existing GF concrete slabs,m³,Groundworks,Demolition,74.67,Groundworks!F19,74.67,Groundworks!A19,Groundworks,
8,8,Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers,m³,Groundworks,Demolition,133.85,Groundworks!F20,133.85,Groundworks!A20,Groundworks,foundation|compact
9,9,Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers,m³,Groundworks,Demolition,109.21,Groundworks!F21,109.21,Groundworks!A21,Groundworks,foundation|compact
10,10,Grub up & remove existing basements and underground structures and backfill voids with structural granular fill well compacted in layers; total gross volume m3,m³,Groundworks,Demolition,75.34,Groundworks!F22,75.34,Groundworks!A22,Groundworks,compact
11,11,Temporary works required for demolition,m²,Groundworks,Demolition,109.28,Groundworks!F23,109.28,Groundworks!A23,Groundworks,
12,12,Crash deck under slab break outs,m²,Groundworks,Demolition,35.11,Groundworks!F24,35.11,Groundworks!A24,Groundworks,
13,13,Excavate by hand; inside existing buildings & get out,m³,Groundworks,Demolition,91.78,Groundworks!F25,91.78,Groundworks!A25,Groundworks,
14,14,Excavate by hand; in confined space within building & get out,m³,Groundworks,Demolition,128.75,Groundworks!F26,128.75,Groundworks!A26,Groundworks,
15,15,"Demolish by hand brickwork/blockwork/etc inc breakup, load & C/A (solid m3)",m³,Groundworks,Demolition,415.77,Groundworks!F27,415.77,Groundworks!A27,Groundworks,
16,16,"Demolish by hand RC structure inc breakup, load & C/A (solid m3) slabs slabs",m³,Groundworks,Demolition,547.55,Groundworks!F28,547.55,Groundworks!A28,Groundworks,
17,17,"Demolish by hand RC structure inc breakup, load & C/A (solid m3) walls walls",m³,Groundworks,Demolition,547.55,Groundworks!F29,547.55,Groundworks!A29,Groundworks,
18,18,Exc 100mm dp; b/o tarmac; C/A; b/fill with 6F2; L&C,m²,Groundworks,Demolition,11.2,Groundworks!F30,11.2,Groundworks!A30,Groundworks,100mm
19,19,Exc 100mm dp; b/o tarmac; C/A; b/fill with 6F2; L&C,m²,Groundworks,Demolition,31.52,Groundworks!F31,31.52,Groundworks!A31,Groundworks,100mm
20,20,Saw cut concrete; not exceeding 100mm,m,Groundworks,Demolition,8.97,Groundworks!F32,8.97,Groundworks!A32,Groundworks,100mm
21,21,Saw cut concrete; not exceeding 200mm,m,Groundworks,Demolition,17.94,Groundworks!F33,17.94,Groundworks!A33,Groundworks,200mm
22,22,Saw cut concrete; not exceeding 300mm,m,Groundworks,Demolition,26.9,Groundworks!F34,26.9,Groundworks!A34,Groundworks,300mm
23,23,Saw cut concrete; not exceeding 400mm,m,Groundworks,Demolition,35.87,Groundworks!F35,35.87,Groundworks!A35,Groundworks,400mm
24,24,Saw cut concrete; not exceeding 500mm,m,Groundworks,Demolition,44.84,Groundworks!F36,44.84,Groundworks!A36,Groundworks,500mm
25,25,Remove any existing redundant drains and services; prov 1.5m dp,m,Groundworks,Demolition,108.48,Groundworks!F37,108.48,Groundworks!A37,Groundworks,5m
26,26,Breakout and remove extg manhole; prov 1.5m dp,nr,Groundworks,Demolition,338.64,Groundworks!F38,338.64,Groundworks!A38,Groundworks,5m
27,27,Divert any live drains or services that encrouch on position of new building and working space around.,item,Groundworks,Demolition,0.0,Groundworks!F39,0.0,Groundworks!A39,Groundworks,
28,28,Demolish existing sub station,nr,Groundworks,Demolition,5906.56,Groundworks!F40,5906.56,Groundworks!A40,Groundworks,
29,29,Electric diversion,nr,Groundworks,Demolition,2360.0,Groundworks!F41,2360.0,Groundworks!A41,Groundworks,
30,30,Cat scan site,nr,Groundworks,Demolition,1180.0,Groundworks!F42,1180.0,Groundworks!A42,Groundworks,
31,31,Remove existing handrails; 1.2m high galv/painted steel,m,Groundworks,Demolition,98.86,Groundworks!F43,98.86,Groundworks!A43,Groundworks,2m
32,32,Remove existing handrails; 1.0m high galv/painted steel,m,Groundworks,Demolition,95.32,Groundworks!F44,95.32,Groundworks!A44,Groundworks,0m
33,33,Remove existing metal fencing; not exceeding 1.0m high,m,Groundworks,Demolition,73.61,Groundworks!F45,73.61,Groundworks!A45,Groundworks,0m
34,34,Remove lamposts,m²,Groundworks,Demolition,137.9,Groundworks!F46,137.9,Groundworks!A46,Groundworks,
35,35,Remove wooden fencing; 1.80m high,m,Groundworks,Demolition,67.55,Groundworks!F47,67.55,Groundworks!A47,Groundworks,80m
36,36,Bollard,nr,Groundworks,Demolition,33.91,Groundworks!F48,33.91,Groundworks!A48,Groundworks,
37,37,CCTV columns,nr,Groundworks,Demolition,137.9,Groundworks!F49,137.9,Groundworks!A49,Groundworks,
38,38,Car park barrier and payment machine,nr,Groundworks,Demolition,310.83,Groundworks!F50,310.83,Groundworks!A50,Groundworks,
39,39,Load and cart fly tipped materials left on site,m³,Groundworks,Demolition,73.23,Groundworks!F51,73.23,Groundworks!A51,Groundworks,
40,40,Heras fencing as tree protection (per tree),nr,Groundworks,Enabling Works,44.02,Groundworks!F54,44.02,Groundworks!A54,Groundworks,
41,41,Site clearance,m²,Groundworks,Enabling Works,0.97,Groundworks!F55,0.97,Groundworks!A55,Groundworks,
42,42,Excavate to reduce levels,m³,Groundworks,Enabling Works,3.94,Groundworks!F56,3.94,Groundworks!A56,Groundworks,
43,43,Excavate to reduce levels,m³,Groundworks,Enabling Works,3.94,Groundworks!F57,3.94,Groundworks!A57,Groundworks,
44,44,Dispose of excavation arisings off site; clean inert material,m³,Groundworks,Enabling Works,41.65,Groundworks!F59,41.65,Groundworks!A59,Groundworks,excavation
45,45,Dispose of excavation arisings off site; clean inert material,m³,Groundworks,Enabling Works,41.65,Groundworks!F60,41.65,Groundworks!A60,Groundworks,excavation
46,46,Level & compact bottom of excavation,m²,Groundworks,Enabling Works,0.53,Groundworks!F61,0.53,Groundworks!A61,Groundworks,excavation|compact
47,47,Level & compact bottom of excavation,m²,Groundworks,Enabling Works,0.34,Groundworks!F62,0.34,Groundworks!A62,Groundworks,excavation|compact
48,48,Terram,m²,Groundworks,Enabling Works,1.47,Groundworks!F63,1.47,Groundworks!A63,Groundworks,
49,49,Imported fill; hardcore / crushed concrete in piling mat,m³,Groundworks,Enabling Works,27.78,Groundworks!F64,27.78,Groundworks!A64,Groundworks,hardcore
50,50,Imported fill; hardcore / crushed concrete in piling mat,m³,Groundworks,Enabling Works,28.55,Groundworks!F65,28.55,Groundworks!A65,Groundworks,hardcore
51,51,Piling mat; imported hardcore; 600mm thk,m²,Groundworks,Enabling Works,16.67,Groundworks!F66,16.67,Groundworks!A66,Groundworks,600mm|hardcore
52,52,Haul roads; imported Type 1; 300mm thk,m³,Groundworks,Enabling Works,47.63,Groundworks!F67,47.63,Groundworks!A67,Groundworks,300mm
53,53,Hardstandings; imported Type 2; 250mm thick,m³,Groundworks,Enabling Works,44.85,Groundworks!F68,44.85,Groundworks!A68,Groundworks,250mm
54,54,Level & compact fill,m²,Groundworks,Enabling Works,0.53,Groundworks!F69,0.53,Groundworks!A69,Groundworks,compact
55,55,Level & compact fill,m²,Groundworks,Enabling Works,0.53,Groundworks!F70,0.53,Groundworks!A70,Groundworks,compact
56,56,Install protective matting,m²,Groundworks,Enabling Works,0.0,Groundworks!G71,0.0,Groundworks!A71,Groundworks,
57,57,Erect hoardings,m,Groundworks,Enabling Works,95.5,Groundworks!F72,95.5,Groundworks!A72,Groundworks,
58,58,Double gate; vehicle access,nr,Groundworks,Enabling Works,1422.59,Groundworks!F73,1422.59,Groundworks!A73,Groundworks,
