id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
GW0001,1,1,Excavation quantities based on existing ground level being m OD,item,Groundworks,General Excavation,Excavation,,,,A11,Groundworks,excavation|general_excavation
GW0002,2,2,No allowance has been made for dealing with contaminated ground,item,Groundworks,General Groundworks,Groundworks,,,,A12,Groundworks,general_groundworks
GW0003,3,3,Tender based on drawings:,item,Groundworks,General Groundworks,Groundworks,,,,A13,Groundworks,general_groundworks
GW0004,4,4,Demolish existing timber & plaster partitions/floors/roofs (Reduce elements to solid m3),m³,Groundworks,General Groundworks,Groundworks,158.66,F16,158.66,A16,Groundworks,general_groundworks
GW0005,5,5,Demolish existing brickwork/blockwork/plaster (Reduce walls to solid m3),m³,Groundworks,General Groundworks,Groundworks,120.3,F17,120.3,A17,Groundworks,general_groundworks
GW0006,6,6,"Demolish existing RC structure inc breakup, load & C/A (reduce to solid m3)",m³,Groundworks,General Groundworks,Groundworks,209.55,F18,209.55,A18,Groundworks,general_groundworks
GW0007,7,7,Break up & remove existing GF concrete slabs,m³,Groundworks,General Groundworks,Groundworks,74.67,F19,74.67,A19,Groundworks,general_groundworks
GW0008,8,8,Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers,m³,Groundworks,General Filling,Filling,133.85,F20,133.85,A20,Groundworks,foundation|compact|general_filling
GW0009,9,9,Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers,m³,Groundworks,General Filling,Filling,109.21,F21,109.21,A21,Groundworks,foundation|compact|general_filling
GW0010,10,10,Grub up & remove existing basements and underground structures and backfill voids with structural granular fill well compacted in layers; total gross volume m3,m³,Groundworks,General Filling,Filling,75.34,F22,75.34,A22,Groundworks,basement|compact|general_filling
GW0011,11,11,Temporary works required for demolition,m²,Groundworks,General Groundworks,Groundworks,109.28,F23,109.28,A23,Groundworks,general_groundworks
GW0012,12,12,Crash deck under slab break outs,m²,Groundworks,General Groundworks,Groundworks,35.11,F24,35.11,A24,Groundworks,general_groundworks
GW0013,13,13,Excavate by hand; inside existing buildings & get out,m³,Groundworks,General Excavation,Excavation,91.78,F25,91.78,A25,Groundworks,general_excavation
GW0014,14,14,Excavate by hand; in confined space within building & get out,m³,Groundworks,General Excavation,Excavation,128.75,F26,128.75,A26,Groundworks,general_excavation
GW0015,15,15,"Demolish by hand brickwork/blockwork/etc inc breakup, load & C/A (solid m3)",m³,Groundworks,General Groundworks,Groundworks,415.77,F27,415.77,A27,Groundworks,general_groundworks
GW0016,16,16,"Demolish by hand RC structure inc breakup, load & C/A (solid m3) slabs slabs",m³,Groundworks,General Groundworks,Groundworks,547.55,F28,547.55,A28,Groundworks,general_groundworks
GW0017,17,17,"Demolish by hand RC structure inc breakup, load & C/A (solid m3) walls walls",m³,Groundworks,General Groundworks,Groundworks,547.55,F29,547.55,A29,Groundworks,general_groundworks
GW0018,18,18,Exc 100mm dp; b/o tarmac; C/A; b/fill with 6F2; L&C,m²,Groundworks,General Filling,Filling,11.2,F30,11.2,A30,Groundworks,100mm|general_filling
GW0019,19,19,Exc 100mm dp; b/o tarmac; C/A; b/fill with 6F2; L&C,m²,Groundworks,General Filling,Filling,31.52,F31,31.52,A31,Groundworks,100mm|general_filling
GW0020,20,20,Saw cut concrete; not exceeding 100mm,m,Groundworks,General Groundworks,Groundworks,8.97,F32,8.97,A32,Groundworks,100mm|general_groundworks
GW0021,21,21,Saw cut concrete; not exceeding 200mm,m,Groundworks,General Groundworks,Groundworks,17.94,F33,17.94,A33,Groundworks,200mm|general_groundworks
GW0022,22,22,Saw cut concrete; not exceeding 300mm,m,Groundworks,General Groundworks,Groundworks,26.9,F34,26.9,A34,Groundworks,300mm|general_groundworks
GW0023,23,23,Saw cut concrete; not exceeding 400mm,m,Groundworks,General Groundworks,Groundworks,35.87,F35,35.87,A35,Groundworks,400mm|general_groundworks
GW0024,24,24,Saw cut concrete; not exceeding 500mm,m,Groundworks,General Groundworks,Groundworks,44.84,F36,44.84,A36,Groundworks,500mm|general_groundworks
GW0025,25,25,Remove any existing redundant drains and services; prov 1.5m dp,m,Groundworks,General Groundworks,Groundworks,108.48,F37,108.48,A37,Groundworks,5m|general_groundworks
GW0026,26,26,Breakout and remove extg manhole; prov 1.5m dp,nr,Groundworks,General Groundworks,Groundworks,338.64,F38,338.64,A38,Groundworks,5m|general_groundworks
GW0027,27,27,Divert any live drains or services that encrouch on position of new building and working space around.,item,Groundworks,General Groundworks,Groundworks,,,,A39,Groundworks,general_groundworks
GW0028,28,28,Demolish existing sub station,nr,Groundworks,General Groundworks,Groundworks,5906.56,F40,5906.56,A40,Groundworks,general_groundworks
GW0029,29,29,Electric diversion,nr,Groundworks,General Groundworks,Groundworks,2360.0,F41,2360.0,A41,Groundworks,general_groundworks
GW0030,30,30,Cat scan site,nr,Groundworks,General Groundworks,Groundworks,1180.0,F42,1180.0,A42,Groundworks,general_groundworks
GW0031,31,31,Remove existing handrails; 1.2m high galv/painted steel,m,Groundworks,General Groundworks,Groundworks,98.86,F43,98.86,A43,Groundworks,2m|general_groundworks
GW0032,32,32,Remove existing handrails; 1.0m high galv/painted steel,m,Groundworks,General Groundworks,Groundworks,95.32,F44,95.32,A44,Groundworks,0m|general_groundworks
GW0033,33,33,Remove existing metal fencing; not exceeding 1.0m high,m,Groundworks,General Groundworks,Groundworks,73.61,F45,73.61,A45,Groundworks,0m|depth_1m|general_groundworks
GW0034,34,34,Remove lamposts,m²,Groundworks,General Groundworks,Groundworks,137.9,F46,137.9,A46,Groundworks,general_groundworks
GW0035,35,35,Remove wooden fencing; 1.80m high,m,Groundworks,General Groundworks,Groundworks,67.55,F47,67.55,A47,Groundworks,80m|general_groundworks
GW0036,37,37,CCTV columns,nr,Groundworks,General Groundworks,Groundworks,137.9,F49,137.9,A49,Groundworks,general_groundworks
GW0037,38,38,Car park barrier and payment machine,nr,Groundworks,General Groundworks,Groundworks,310.83,F50,310.83,A50,Groundworks,general_groundworks
GW0038,39,39,Load and cart fly tipped materials left on site,m³,Groundworks,General Groundworks,Groundworks,73.23,F51,73.23,A51,Groundworks,general_groundworks
GW0039,40,40,Heras fencing as tree protection (per tree),nr,Groundworks,General Groundworks,Groundworks,44.02,F54,44.02,A54,Groundworks,general_groundworks
GW0040,41,41,Site clearance,m²,Groundworks,General Groundworks,Groundworks,0.97,F55,0.97,A55,Groundworks,general_groundworks
GW0041,42,42,Excavate to reduce levels,m³,Groundworks,General Excavation,Excavation,3.94,F56,3.94,A56,Groundworks,general_excavation
GW0042,43,43,Excavate to reduce levels,m³,Groundworks,General Excavation,Excavation,3.94,F57,3.94,A57,Groundworks,general_excavation
GW0043,GW0043,,Inert disposal rate fluctuating based on prime cost of:,m³,Groundworks,Disposal,Disposal,300.0,F58,300.0,A58,Groundworks,disposal
GW0044,44,44,Dispose of excavation arisings off site; clean inert material,m³,Groundworks,General Excavation,Excavation,41.65,F59,41.65,A59,Groundworks,excavation|general_excavation
GW0045,45,45,Dispose of excavation arisings off site; clean inert material,m³,Groundworks,General Excavation,Excavation,41.65,F60,41.65,A60,Groundworks,excavation|general_excavation
GW0046,46,46,Level & compact bottom of excavation,m²,Groundworks,General Excavation,Excavation,0.53,F61,0.53,A61,Groundworks,excavation|compact|general_excavation
GW0047,47,47,Level & compact bottom of excavation,m²,Groundworks,General Excavation,Excavation,0.34,F62,0.34,A62,Groundworks,excavation|compact|general_excavation
GW0048,49,49,Imported fill; hardcore / crushed concrete in piling mat,m³,Groundworks,Hardcore Filling,Filling,27.78,F64,27.78,A64,Groundworks,hardcore|hardcore_filling
GW0049,50,50,Imported fill; hardcore / crushed concrete in piling mat,m³,Groundworks,Hardcore Filling,Filling,28.55,F65,28.55,A65,Groundworks,hardcore|hardcore_filling
GW0050,51,51,Piling mat; imported hardcore; 600mm thk,m²,Groundworks,General Groundworks,Groundworks,16.67,F66,16.67,A66,Groundworks,600mm|hardcore|general_groundworks
GW0051,52,52,Haul roads; imported Type 1; 300mm thk,m³,Groundworks,General Groundworks,Groundworks,47.63,F67,47.63,A67,Groundworks,300mm|general_groundworks
GW0052,53,53,Hardstandings; imported Type 2; 250mm thick,m³,Groundworks,General Groundworks,Groundworks,44.85,F68,44.85,A68,Groundworks,250mm|general_groundworks
GW0053,54,54,Level & compact fill,m²,Groundworks,General Filling,Filling,0.53,F69,0.53,A69,Groundworks,compact|general_filling
GW0054,55,55,Level & compact fill,m²,Groundworks,General Filling,Filling,0.53,F70,0.53,A70,Groundworks,compact|general_filling
GW0055,56,56,Install protective matting,m²,Groundworks,General Groundworks,Groundworks,,,,A71,Groundworks,general_groundworks
GW0056,57,57,Erect hoardings,m,Groundworks,General Groundworks,Groundworks,95.5,F72,95.5,A72,Groundworks,general_groundworks
GW0057,58,58,Double gate; vehicle access,nr,Groundworks,General Groundworks,Groundworks,1422.59,F73,1422.59,A73,Groundworks,general_groundworks
GW0058,59,59,EO for Pedestrian gate,nr,Groundworks,General Groundworks,Groundworks,381.04,F74,381.04,A74,Groundworks,general_groundworks
GW0059,60,60,Temporary gates during piling; Double gate; vehicle access,nr,Groundworks,General Groundworks,Groundworks,1422.59,F75,1422.59,A75,Groundworks,general_groundworks
GW0060,61,61,Heras Fencing (tree protection),m,Groundworks,General Groundworks,Groundworks,25.38,F76,25.38,A76,Groundworks,general_groundworks
GW0061,62,62,Isolate & remove live services,item,Groundworks,General Groundworks,Groundworks,2031.96,F77,2031.96,A77,Groundworks,general_groundworks
GW0062,63,63,"Survey for services, etc",item,Groundworks,General Groundworks,Groundworks,2360.0,F78,2360.0,A78,Groundworks,general_groundworks
GW0063,64,64,Trial pit to locate services,nr,Groundworks,General Groundworks,Groundworks,78.93,F79,78.93,A79,Groundworks,general_groundworks
GW0064,65,65,Level & compact ground,m²,Groundworks,Compaction,Compaction,0.53,F82,0.53,A82,Groundworks,compact|compaction
GW0065,66,66,CBR test to establish piling mat capacity,nr,Groundworks,General Groundworks,Groundworks,383.5,F83,383.5,A83,Groundworks,general_groundworks
GW0066,67,67,"Excavate to reduce levels, for piling mat; not exceeding 1m dp",m³,Groundworks,General Excavation,Excavation,3.8,F84,3.8,A84,Groundworks,1m|depth_1m|general_excavation
GW0067,68,68,Level & compact bottom of excavation,m²,Groundworks,General Excavation,Excavation,0.5,F85,0.5,A85,Groundworks,excavation|compact|general_excavation
GW0068,69,69,Excavate to remove piling mat,m³,Groundworks,General Excavation,Excavation,3.8,F86,3.8,A86,Groundworks,general_excavation
GW0069,70,70,Scrape off top of piling mat & dispose off site; not exceeding 100mm thk,m²,Groundworks,General Groundworks,Groundworks,4.95,F87,4.95,A87,Groundworks,100mm|general_groundworks
GW0070,71,71,Excavate to remove piling mat & dispose off site; 300mm thk,m²,Groundworks,General Excavation,Excavation,14.42,F88,14.42,A88,Groundworks,300mm|general_excavation
GW0071,72,72,Excavate to remove piling mat & dispose off site; 400mm thk,m²,Groundworks,General Excavation,Excavation,19.22,F89,19.22,A89,Groundworks,400mm|general_excavation
GW0072,73,73,Excavate to remove piling mat & dispose off site; 500mm thk,m²,Groundworks,General Excavation,Excavation,24.03,F90,24.03,A90,Groundworks,500mm|general_excavation
GW0073,74,74,Excavate to remove piling mat & dispose off site; 600mm thk,m²,Groundworks,General Excavation,Excavation,28.83,F91,28.83,A91,Groundworks,600mm|general_excavation
GW0074,75,75,Excavate to remove piling mat & dispose off site; 750mm thk,m²,Groundworks,General Excavation,Excavation,36.04,F92,36.04,A92,Groundworks,750mm|general_excavation
GW0075,76,76,Excavate to remove piling mat & dispose off site,m³,Groundworks,General Excavation,Excavation,48.05,F93,48.05,A93,Groundworks,general_excavation
GW0076,77,77,Inert disposal rate fluctuating based on prime cost of:,m³,Groundworks,Disposal,Disposal,300.0,F94,300.0,A94,Groundworks,disposal
GW0077,78,78,Dispose of excavation arisings off site; clean inert material,m³,Groundworks,General Excavation,Excavation,44.25,F95,44.25,A95,Groundworks,excavation|general_excavation
GW0078,79,79,Dispose of hardcore (from piling mat) off site,m³,Groundworks,General Groundworks,Groundworks,19.67,F96,19.67,A96,Groundworks,hardcore|general_groundworks
GW0079,80,80,Haul & deposit on site; maximum 50m,m³,Groundworks,General Groundworks,Groundworks,5.06,F97,5.06,A97,Groundworks,50m|general_groundworks
GW0080,81,81,Piling mat design,item,Groundworks,General Groundworks,Groundworks,1180.0,F98,1180.0,A98,Groundworks,general_groundworks
GW0081,82,82,Filling with free issue materials from site stockpile; load & haul maximum 50m,m³,Groundworks,General Filling,Filling,9.93,F99,9.93,A99,Groundworks,50m|filling|general_filling
GW0082,83,83,Imported fill; hardcore / crushed concrete in piling mat,m³,Groundworks,Hardcore Filling,Filling,27.78,F100,27.78,A100,Groundworks,hardcore|hardcore_filling
GW0083,84,84,Imported fill; 6F2 in piling mat,m³,Groundworks,Imported Fill,Filling,36.05,F101,36.05,A101,Groundworks,imported_fill
GW0084,85,85,Filling with free issue materials from site stockpile; to form piling mat; load & haul maximum 50m,m³,Groundworks,General Filling,Filling,9.81,F102,9.81,A102,Groundworks,50m|filling|general_filling
GW0085,86,86,Form ramp between different levels of pile mat,nr,Groundworks,Leveling and Grading,Site Preparation,646.35,F103,646.35,A103,Groundworks,leveling_and_grading
GW0086,87,87,Credit free issue materials for piling mat,m³,Groundworks,General Groundworks,Groundworks,,,,A104,Groundworks,general_groundworks
GW0087,88,88,Imported fill; hardcore / crushed concrete in piling mat; not exceeding 100mm thick,m²,Groundworks,Hardcore Filling,Filling,3.15,F105,3.15,A105,Groundworks,100mm|hardcore|hardcore_filling
GW0088,89,89,Imported fill; hardcore / crushed concrete in piling mat; 300mm thick,m²,Groundworks,Hardcore Filling,Filling,8.33,F106,8.33,A106,Groundworks,300mm|hardcore|hardcore_filling
GW0089,90,90,Filling with free issue materials from site stockpile; to form piling mat; load & haul maximum 50m; 300mm thk,m²,Groundworks,General Filling,Filling,2.98,F107,2.98,A107,Groundworks,50m|300mm|filling|general_filling
GW0090,91,91,Imported fill; 6F2 in piling mat; 400mm thick,m²,Groundworks,Imported Fill,Filling,14.44,F108,14.44,A108,Groundworks,400mm|imported_fill
GW0091,92,92,Imported fill; 6F2 in piling mat; 500mm thick,m²,Groundworks,Imported Fill,Filling,18.05,F109,18.05,A109,Groundworks,500mm|imported_fill
GW0092,93,93,Imported fill; 6F2 in piling mat; 600mm thick,m²,Groundworks,Imported Fill,Filling,21.67,F110,21.67,A110,Groundworks,600mm|imported_fill
