id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
16,16,slabs,m³,Groundworks,Groundworks,547.55,Groundworks!F28,547.55,Groundworks!A28,Groundworks,
36,36,Bollard,nr,Groundworks,Groundworks,33.91,Groundworks!F48,33.91,Groundworks!A48,Groundworks,
87,87,-26.24,m³,Groundworks,Groundworks,1.5816993464052285,Groundworks!O104,1.5816993464052285,Groundworks!A104,Groundworks,
107,107,Design,item,Groundworks,Groundworks,1180.0,Groundworks!F125,1180.0,Groundworks!A125,Groundworks,
139,139,Design,item,Groundworks,Groundworks,2950.0,Groundworks!F157,2950.0,Groundworks!A157,Groundworks,
144,144,Piles for crane base,nr,Groundworks,Groundworks,1770.0,Groundworks!F162,1770.0,Groundworks!A162,Groundworks,
224,224,Exc ancilliaries; prepare surfaces,m²,Groundworks,Groundworks,0.11,Groundworks!F256,0.11,Groundworks!A256,Groundworks,
225,225,Exc ancilliaries; prepare surfaces; sloping,m²,Groundworks,Groundworks,1.08,Groundworks!F257,1.08,Groundworks!A257,Groundworks,
269,269,EO for using a conveyor,m³,Groundworks,Groundworks,11.85,Groundworks!F303,11.85,Groundworks!A303,Groundworks,
407,407,Welder,days,Groundworks,Groundworks,147.5,Groundworks!F448,147.5,Groundworks!A448,Groundworks,
697,697,Seal & dress around pile,nr,Groundworks,Groundworks,24.46,Groundworks!F768,24.46,Groundworks!A768,Groundworks,
794,794,Seal & dress around pile,nr,Groundworks,Groundworks,14.78,Groundworks!F878,14.78,Groundworks!A878,Groundworks,
140,140,Corbel,m³,RC Works,RC Works,233.87,RC works!F186,233.87,RC works!A186,RC works,
183,183,Benching,m³,RC Works,RC Works,480.37,RC works!F243,480.37,RC works!A243,RC works,
263,263,-30.24,m³,RC Works,RC Works,0.0,,0.0,RC works!A350,RC works,
294,294,-30.24,m³,RC Works,RC Works,0.0,,0.0,RC works!A390,RC works,
325,325,-31.45,m³,RC Works,RC Works,0.0,,0.0,RC works!A431,RC works,
349,349,Floors,m²,RC Works,RC Works,27.19,RC works!F471,27.19,RC works!A471,RC works,
380,380,Edges of slabs & openings; not exceeding 250,m,RC Works,RC Works,11.03,RC works!F507,11.03,RC works!A507,RC works,
381,381,Edges of slabs & openings; not exceeding 250; curved,m,RC Works,RC Works,22.06,RC works!F508,22.06,RC works!A508,RC works,
382,382,Edges of slabs & openings; not exceeding 250; sloping,m,RC Works,RC Works,14.89,RC works!F509,14.89,RC works!A509,RC works,
