id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SV0001,198,198,EO service trenches for hand excavation,m³,Services,General Services,Excavation,,,,A310,Services,general_services
SV0002,199,199,EO exc exploratory trench to locate existing service,m³,Services,General Services,Services Works,,,,A311,Services,general_services
SV0003,200,200,EO trenches for breaking out existing tarmac road surface & reinstating on completion,m³,Services,General Services,Services Works,,,,A312,Services,general_services
SV0004,201,201,EO drain trenches for breaking out existing tarmac road surface & reinstating on completion; provisional,m³,Services,General Services,Services Works,,,,A313,Services,general_services
SV0005,202,202,EO drain trenches for breaking out existing tarmac footpath surface & reinstating on completion; provisional,m³,Services,General Services,Services Works,,,,A314,Services,general_services
SV0006,203,203,EO trenches for covering with road plates,m³,Services,General Services,Services Works,,,,A315,Services,general_services
SV0007,204,204,EO trenches for breaking out underground obstructions; reinforced concrete,m³,Services,General Services,Services Works,,,,A316,Services,general_services
SV0008,205,205,EO trenches for breaking out underground obstructions; plain concrete,m³,Services,General Services,Services Works,,,,A317,Services,general_services
SV0009,206,206,EO trenches for breaking out underground obstructions; rock,m³,Services,General Services,Services Works,,,,A318,Services,general_services
SV0010,207,207,EO trenches for breaking out underground obstructions; brickwork,m³,Services,General Services,Services Works,,,,A319,Services,general_services
SV0011,208,208,EO trenches for excavating by hand around existing services,m³,Services,General Services,Services Works,,,,A320,Services,general_services
SV0012,209,209,EO trenches for vacuum excavation,m³,Services,General Services,Excavation,,,,A321,Services,general_services
SV0013,210,210,Vacuum excavation; 1 day visit (27m3 max),m³,Services,General Services,Excavation,,,,A322,Services,general_services
SV0014,211,211,EO trenches for attending M&E contractor installing pipework in trenches,m,Services,Plumbing Works,Installation,,,,A323,Services,pipe|plumbing_works
SV0015,212,212,EO excs for exc below grd water level (prov),item,Services,Plumbing Works,Services Works,,,,A324,Services,plumbing_works
SV0016,213,213,EO excs for exc next to extg services (prov),item,Services,General Services,Services Works,,,,A325,Services,general_services
SV0017,214,214,EO excs for exc around extg services crossing trench (prov),m³,Services,General Services,Services Works,,,,A326,Services,general_services
SV0018,215,215,EO for dewatering; surface & ground water; generally,item,Services,Plumbing Works,Services Works,,,,A327,Services,plumbing_works
SV0019,216,216,EO disposal of arisings from trenches for non hazardous material (prov),m³,Services,General Services,Services Works,,,,A328,Services,general_services
SV0020,217,217,EO disposal of arisings from trenches for hazardous material (prov),m³,Services,General Services,Services Works,,,,A329,Services,general_services
SV0021,218,218,EO for warning tape,item,Services,General Services,Services Works,,,,A330,Services,general_services
SV0022,219,219,EO for metal/magnetic warning tape,item,Services,General Services,Services Works,,,,A331,Services,general_services
SV0023,220,220,EO for cable protection tile,m,Services,Cables and Wiring,Services Works,,,,A332,Services,cable|cables_and_wiring
SV0024,221,221,EO for draw cord,item,Services,General Services,Services Works,,,,A333,Services,general_services
SV0025,222,222,EO service trenches for attendance on others laying pipes and leave trenches open whilst services are installed,m,Services,Plumbing Works,Installation,,,,A334,Services,pipe|plumbing_works
SV0026,223,223,EO service trenches for excavating extra space for jointing pit at pipe joints,m,Services,Plumbing Works,Services Works,,,,A335,Services,pipe|plumbing_works
SV0027,224,224,Attendance item; offload and distribute pipes for District Heating installer,m,Services,Plumbing Works,Installation,,,,A336,Services,pipe|plumbing_works
SV0028,223,223,"EO trenches, backfill, beds, surrounds & pipes to Project Specification for works to specification suitable for adoption",m,Services,Plumbing Works,Services Works,,,,A339,Services,pipe|plumbing_works
SV0029,224,224,Installing heras fencing / barriers around open trenches,m³,Services,General Services,Installation,,,,A340,Services,general_services
SV0030,225,225,Installing road plates over open trenches,m³,Services,General Services,Installation,,,,A341,Services,general_services
SV0031,226,226,Traffic management scheme,item,Services,General Services,Services Works,,,,A342,Services,general_services
SV0032,227,227,Pedestrian management scheme,item,Services,General Services,Services Works,,,,A343,Services,general_services
SV0033,228,228,"Apply, obtain & install partial road closure",item,Services,General Services,Installation,,,,A344,Services,general_services
